Date	Diesel/Petrol	Pump Price
2/2/2009	Diesel	£99.82
2/2/2009	Petrol	£88.16
2/9/2009	Diesel	£100.31
2/9/2009	Petrol	£89.28
2/16/2009	Diesel	£100.86
2/16/2009	Petrol	£90.12
2/23/2009	Diesel	£100.81
2/23/2009	Petrol	£90.33
3/2/2009	Diesel	£100.64
3/2/2009	Petrol	£90.28
3/9/2009	Diesel	£100.03
3/9/2009	Petrol	£90.15
3/16/2009	Diesel	£99.82
3/16/2009	Petrol	£90.16
3/23/2009	Diesel	£99.52
3/23/2009	Petrol	£90.16
3/30/2009	Diesel	£99.98
3/30/2009	Petrol	£91.35
4/6/2009	Diesel	£102.14
4/6/2009	Petrol	£93.72
4/13/2009	Diesel	£102.44
4/13/2009	Petrol	£94.11
4/20/2009	Diesel	£102.71
4/20/2009	Petrol	£94.62
4/27/2009	Diesel	£102.83
4/27/2009	Petrol	£95.13
5/4/2009	Diesel	£102.80
5/4/2009	Petrol	£95.60
5/11/2009	Diesel	£103.10
5/11/2009	Petrol	£96.59
5/18/2009	Diesel	£103.37
5/18/2009	Petrol	£97.54
5/25/2009	Diesel	£103.55
5/25/2009	Petrol	£98.90
6/1/2009	Diesel	£103.55
6/1/2009	Petrol	£99.39
6/8/2009	Diesel	£103.78
6/8/2009	Petrol	£100.59
6/15/2009	Diesel	£104.50
6/15/2009	Petrol	£101.98
6/22/2009	Diesel	£104.92
6/22/2009	Petrol	£102.81
6/29/2009	Diesel	£105.05
6/29/2009	Petrol	£103.30
7/6/2009	Diesel	£105.11
7/6/2009	Petrol	£103.57
7/13/2009	Diesel	£104.04
7/13/2009	Petrol	£102.78
7/20/2009	Diesel	£102.99
7/20/2009	Petrol	£102.22
7/27/2009	Diesel	£102.91
7/27/2009	Petrol	£102.17
8/3/2009	Diesel	£103.20
8/3/2009	Petrol	£102.36
8/10/2009	Diesel	£103.79
8/10/2009	Petrol	£103.01
8/17/2009	Diesel	£104.45
8/17/2009	Petrol	£103.96
8/24/2009	Diesel	£105.11
8/24/2009	Petrol	£104.70
8/31/2009	Diesel	£105.50
8/31/2009	Petrol	£105.11
9/7/2009	Diesel	£107.30
9/7/2009	Petrol	£106.85
9/14/2009	Diesel	£107.09
9/14/2009	Petrol	£106.43
9/21/2009	Diesel	£106.79
9/21/2009	Petrol	£105.96
9/28/2009	Diesel	£106.39
9/28/2009	Petrol	£105.44
10/5/2009	Diesel	£105.85
10/5/2009	Petrol	£104.87
10/12/2009	Diesel	£105.69
10/12/2009	Petrol	£104.71
10/19/2009	Diesel	£106.28
10/19/2009	Petrol	£105.08
10/26/2009	Diesel	£107.78
10/26/2009	Petrol	£106.76
11/2/2009	Diesel	£108.51
11/2/2009	Petrol	£107.43
11/9/2009	Diesel	£109.35
11/9/2009	Petrol	£108.10
11/16/2009	Diesel	£109.65
11/16/2009	Petrol	£108.48
11/23/2009	Diesel	£109.87
11/23/2009	Petrol	£108.73
11/30/2009	Diesel	£109.99
11/30/2009	Petrol	£108.79
12/7/2009	Diesel	£109.87
12/7/2009	Petrol	£108.64
12/14/2009	Diesel	£109.57
12/14/2009	Petrol	£108.50
12/21/2009	Diesel	£109.13
12/21/2009	Petrol	£107.47
12/28/2009	Diesel	£109.17
12/28/2009	Petrol	£107.44
1/4/2010	Diesel	£111.08
1/4/2010	Petrol	£109.34
1/11/2010	Diesel	£112.59
1/11/2010	Petrol	£110.72
1/18/2010	Diesel	£113.39
1/18/2010	Petrol	£111.60
1/25/2010	Diesel	£113.71
1/25/2010	Petrol	£111.87
2/1/2010	Diesel	£113.75
2/1/2010	Petrol	£111.91
2/8/2010	Diesel	£113.79
2/8/2010	Petrol	£111.95
2/15/2010	Diesel	£113.68
2/15/2010	Petrol	£111.89
2/22/2010	Diesel	£112.76
2/22/2010	Petrol	£111.56
3/1/2010	Diesel	£113.41
3/1/2010	Petrol	£112.42
3/8/2010	Diesel	£114.68
3/8/2010	Petrol	£113.71
3/15/2010	Diesel	£116.21
3/15/2010	Petrol	£115.46
3/22/2010	Diesel	£117.28
3/22/2010	Petrol	£116.59
3/29/2010	Diesel	£118.21
3/29/2010	Petrol	£117.28
4/5/2010	Diesel	£120.09
4/5/2010	Petrol	£119.29
4/12/2010	Diesel	£121.11
4/12/2010	Petrol	£119.94
4/19/2010	Diesel	£121.74
4/19/2010	Petrol	£120.55
4/26/2010	Diesel	£122.31
4/26/2010	Petrol	£120.99
5/3/2010	Diesel	£122.68
5/3/2010	Petrol	£121.18
5/10/2010	Diesel	£122.82
5/10/2010	Petrol	£121.31
5/17/2010	Diesel	£122.83
5/17/2010	Petrol	£121.30
5/24/2010	Diesel	£121.92
5/24/2010	Petrol	£119.93
5/31/2010	Diesel	£120.76
5/31/2010	Petrol	£118.54
6/7/2010	Diesel	£120.40
6/7/2010	Petrol	£118.20
6/14/2010	Diesel	£120.21
6/14/2010	Petrol	£117.87
6/21/2010	Diesel	£120.39
6/21/2010	Petrol	£117.80
6/28/2010	Diesel	£120.38
6/28/2010	Petrol	£117.88
7/5/2010	Diesel	£120.44
7/5/2010	Petrol	£117.91
7/12/2010	Diesel	£119.78
7/12/2010	Petrol	£117.39
7/19/2010	Diesel	£119.24
7/19/2010	Petrol	£116.85
7/26/2010	Diesel	£119.03
7/26/2010	Petrol	£116.61
8/2/2010	Diesel	£119.03
8/2/2010	Petrol	£116.51
8/9/2010	Diesel	£118.94
8/9/2010	Petrol	£116.35
8/16/2010	Diesel	£118.79
8/16/2010	Petrol	£116.34
8/23/2010	Diesel	£117.90
8/23/2010	Petrol	£115.64
8/30/2010	Diesel	£117.37
8/30/2010	Petrol	£114.98
9/6/2010	Diesel	£117.09
9/6/2010	Petrol	£114.59
9/13/2010	Diesel	£117.17
9/13/2010	Petrol	£114.66
9/20/2010	Diesel	£117.72
9/20/2010	Petrol	£115.06
9/27/2010	Diesel	£118.11
9/27/2010	Petrol	£115.39
10/4/2010	Diesel	£118.97
10/4/2010	Petrol	£116.01
10/11/2010	Diesel	£119.77
10/11/2010	Petrol	£116.78
10/18/2010	Diesel	£120.60
10/18/2010	Petrol	£117.28
10/25/2010	Diesel	£121.17
10/25/2010	Petrol	£117.74
11/1/2010	Diesel	£121.66
11/1/2010	Petrol	£118.18
11/8/2010	Diesel	£122.19
11/8/2010	Petrol	£118.67
11/15/2010	Diesel	£122.51
11/15/2010	Petrol	£118.80
11/22/2010	Diesel	£122.74
11/22/2010	Petrol	£118.99
11/29/2010	Diesel	£123.20
11/29/2010	Petrol	£119.21
12/6/2010	Diesel	£124.62
12/6/2010	Petrol	£120.54
12/13/2010	Diesel	£125.77
12/13/2010	Petrol	£121.68
12/20/2010	Diesel	£126.52
12/20/2010	Petrol	£122.31
12/27/2010	Diesel	£127.68
12/27/2010	Petrol	£123.44
1/3/2011	Diesel	£129.11
1/3/2011	Petrol	£124.85
1/10/2011	Diesel	£131.60
1/10/2011	Petrol	£127.40
1/17/2011	Diesel	£132.33
1/17/2011	Petrol	£127.87
1/24/2011	Diesel	£133.00
1/24/2011	Petrol	£128.35
1/31/2011	Diesel	£133.25
1/31/2011	Petrol	£128.55
2/7/2011	Diesel	£133.47
2/7/2011	Petrol	£128.64
2/14/2011	Diesel	£133.71
2/14/2011	Petrol	£128.73
2/21/2011	Diesel	£134.04
2/21/2011	Petrol	£128.92
2/28/2011	Diesel	£135.06
2/28/2011	Petrol	£129.72
3/7/2011	Diesel	£136.90
3/7/2011	Petrol	£131.28
3/14/2011	Diesel	£138.25
3/14/2011	Petrol	£132.18
3/21/2011	Diesel	£139.53
3/21/2011	Petrol	£133.11
3/28/2011	Diesel	£139.04
3/28/2011	Petrol	£132.44
4/4/2011	Diesel	£139.46
